entry_id,entry_date,application,task_description,total_seconds,status,notes,source_hash,matter_code,created_at,updated_at
11003,2025-07-26,youtube.com,Digital Audio Recorder Watch - Review - YouTube - Audio playing,36,pending,,6fcc3392fb1c982b5d8baf687dd77e89,,,
10902,2025-07-26,Cursor,.env — rescuetime,32,pending,,00fc4f76094254b54ac628a0c99e8396,,,
10982,2025-07-26,hdokiejnpimakedhajhdlcegeplioahd,login.html,29,pending,,8aad832c8020a1fbbd6a7f8aa07c8434,,,
10987,2025-07-26,linkedin.com,Darryl Dyson | LinkedIn,28,pending,,9c6dcba6b5c74d8ac132ee180ffa0eeb,,,
10945,2025-07-26,Cursor,start_services.sh — kb_search_api,26,pending,,8b7860e39a00f879f6cfd9cf0d54590b,,,
10947,2025-07-26,Cursor,test_fuzzy_params.py,25,pending,,666f48bb59916376144d0accc1892609,,,
10949,2025-07-26,Finder,Applications,24,pending,,784f2e37b5e5c3313c6e82b0814320af,,,
10955,2025-07-26,Preview,IMGG0109-coloured_x766a.jpg,24,pending,,d56f6ea54b12cfe565e12956edd5d385,,,
10983,2025-07-26,lastpass.com,LastPass - Sign In,24,pending,,d17446854ab4e2b9b4fc0635fdef183a,,,
11007,2025-07-26,youtube.com,SpyCentre Security - YouTube - Audio playing,23,pending,,6dc98355065f8e9b863aba2c970edff2,,,
10916,2025-07-26,Cursor,comprehensive_scoring_analysis.py,22,pending,,7fce6a3021e87396129bd627234008d9,,,
10967,2025-07-26,google.com,darryl dyson accountant - Google Search,22,pending,,95aa3b693308bffb49815794c733acc0,,,
10995,2025-07-26,microsoft outlook,RE: [PORTAL] Organization double-up under contact - Inbox • andrew@adlvlaw.com.au,21,pending,,e24a701a7cd6bee06595426206fba2b8,,,
10973,2025-07-26,google.com,elston giovanni - Google Search,19,pending,,a25681e4589242438c19ecc44ffde19c,,,
10996,2025-07-26,microsoft outlook,Re: [PORTAL] Organization double-up under contact • andrew@adlvlaw.com.au,18,pending,,3268e903f635d16d5ca1f6c623c8df08,,,
10954,2025-07-26,Preview,Form 1-L3_U4_29-31 King William St Adelaide.pdf,16,pending,,b401caf2dfe61e73ce5b1d17f4afc83c,,,
11006,2025-07-26,youtube.com,Mini Wrist Band Voice Activated Recorder - Review - YouTube,15,pending,,db78a835db574589a09ed5b2e3047713,,,
10985,2025-07-26,lastpass.com,My LastPass Vault - Google Chrome - Andrew (andreyev.com.au),14,pending,,074ca2f1072be285f16562db8bf12a4e,,,
11000,2025-07-26,newtab,New Tab - Google Chrome - Andrew (andreyev.com.au),14,pending,,c7b082a6510d41aa7241f9c01168b1d9,,,
10937,2025-07-26,Cursor,project-plan.md,13,pending,,1e76ed3789b698eeb4ee80c38daf975c,,,
10959,2025-07-26,Preview,Your PAYG Instalments Have Changed - 2025 - Edward Andreyev.pdf,13,pending,,5a453d26b57abdb50068879ea504b900,,,
10960,2025-07-26,Preview,img-giovane-nucci copy,13,pending,,c1a2fe02d82b09ae5e0cb2090ffb9e43,,,
10909,2025-07-26,Cursor,ai_architecture_summary.md,12,pending,,52274ad2571cdbf372cddc01fcb9c430,,,
10977,2025-07-26,google.com,postman api - Google Search,12,pending,,53069b371f3bd774dafce09f0d0a7cb7,,,
10950,2025-07-26,Finder,Docker,11,pending,,c0ee5e3d7e47e4905ea7c3b338290fd4,,,
10979,2025-07-26,google.com,tim franklin around the world - Google Search,11,pending,,9a6c5cfeb386f6ff12bbb6d427fc8f3e,,,
10906,2025-07-26,Cursor,Rescue Time API Key — rescuetime,10,pending,,d87e1f1b921d024b8d09abec5c297c70,,,
10940,2025-07-26,Cursor,schemas.py,10,pending,,b057b474a6bf64c33f97801ab38482e6,,,
10988,2025-07-26,linkedin.com,Feed | LinkedIn,10,pending,,c98631eb3e1c9e7eb01aeb65c96e39ec,,,
10908,2025-07-26,Cursor,Screenshot 2025-07-19 at 7.41.30 AM.png — rescuetime,9,pending,,1f666a6323c904f1935d082be980f1b3,,,
11001,2025-07-26,newtab,New Tab - Google Chrome - Your Chrome,9,pending,,3f3f3700a81111630692f2975640d9d7,,,
10962,2025-07-26,accounts.google.com,"2-Step Verification To help keep your account safe, Google wants to make sure that it’s really you trying to sign in",8,pending,,bee7084dbb1b6b54aea290fd2578a349,,,
10910,2025-07-26,Cursor,api-documentation.md,7,pending,,b2faca288ba28151c5925450caedb20a,,,
10922,2025-07-26,Cursor,doppler.dev.yaml — kb_search_api,7,pending,,0633a075d2d84b9ee838d60c65437ed5,,,
10958,2025-07-26,Preview,Vendor Execution Page.pdf,7,pending,,78a8ba5ac8d3debc9e1d37af1b47ca3c,,,
10976,2025-07-26,google.com,jimmy franklin around the world - Google Search,7,pending,,f9d152d02dca433eb032b0aba9c9f84c,,,
10944,2025-07-26,Cursor,simplified_database_security_plan.md,6,pending,,6e729dd09a1957b3b1e5b74afb08238f,,,
10966,2025-07-26,google.com,bee wristband - Google Search,6,pending,,27e711a50125f3f0cb76b38fb9006b5b,,,
10971,2025-07-26,google.com,elston financial giovanni - Google Search,6,pending,,3d1ac74263fe6bfaafb8af2055b54814,,,
10972,2025-07-26,google.com,elston giovani - Google Search,6,pending,,b0040d2a81a8cd943e7fb3e2cc86e2ff,,,
10986,2025-07-26,lastpass.com,My LastPass Vault - Google Chrome - Your Chrome,6,pending,,b65ed33447c8299557eefe3a92f220f6,,,
10939,2025-07-26,Cursor,reporter.py,5,pending,,2707a7be16eac28c737a0c112cbc9863,,,
10951,2025-07-26,Github,Authorize Docker Inc,5,pending,,355ac14dca3a33d939037d47c62dc5fe,,,
10963,2025-07-26,accounts.google.com,Andrew A,5,pending,,c67bca5ed9729f5d80cbb7c53b3cc893,,,
10965,2025-07-26,google.com,Bee - Google Search,5,pending,,696ba57274e8883496d4718b2651a3c5,,,
10991,2025-07-26,linkedin.com,"LinkedIn Login, Sign in | LinkedIn",5,pending,,284e8c23702fa8c35c159a453fd3b432,,,
10904,2025-07-26,Cursor,ISSUES_md — kb_search_api,4,pending,,5081b89855c8dc7fd42fd0d88d0c8dba,,,
10952,2025-07-26,Github,OAuth application authorized,4,pending,,e5e362eeff0ccdb8ffea90d5ba9fb1b3,,,
10957,2025-07-26,Preview,Vendor Execution Page copy_Signed – 1 page,4,pending,,6ed4bce2158a0dc3301bbcb014b29324,,,
10964,2025-07-26,accounts.google.com,Sign in – Google accounts,4,pending,,7042add3d64ce9bee8c422658c7cc132,,,
10969,2025-07-26,google.com,docker - Google Search - Google Chrome - Andrew (andreyev.com.au),4,pending,,77fc47e2dc3a58a97a73f51f6349a1dc,,,
10974,2025-07-26,google.com,gemini ai - Google Search,4,pending,,aa44621d1ab7a72c7a4793c2ff142468,,,
11008,2025-07-26,youtube.com,SpyCentre Security - YouTube,4,pending,,44c15db1f810880a87bc635eb47f2227,,,
10911,2025-07-26,Cursor,api.py,3,pending,,58062f21b8eccf838a68e9f63a4adc80,,,
10923,2025-07-26,Cursor,doppler.prd.yaml — kb_search_api,3,pending,,bf604a78991f9eaad9b211cb1ef88c2a,,,
10953,2025-07-26,Preview,1743478465277.jpeg,3,pending,,f7b97882980dfa6f85e0d79a2853130b,,,
10921,2025-07-26,Cursor,docker-compose.dev.yml — kb_search_api,2,pending,,eb29d312064d2ea5f06325365b139aaf,,,
10978,2025-07-26,google.com,supabase - Google Search - Google Chrome - Your Chrome,2,pending,,2318c8e25349116ef7598a53e446ee90,,,
10989,2025-07-26,linkedin.com,LinkedIn,2,pending,,b87bcdee0283103b024a893a8b5f74b5,,,
10992,2025-07-26,linkedin.com,Save password?,2,pending,,71ec0e1643737754964e9cba2cf51901,,,
10912,2025-07-26,Cursor,authentication_implementation.md,1,pending,,3d937a468ed3381e3fc2d04f6ffe29ef,,,
10924,2025-07-26,Cursor,doppler.yaml — kb_search_api,1,pending,,e4b04ad0dafdacd71cb428ffc92ae720,,,
10936,2025-07-26,Cursor,processor.py,1,pending,,3e0d47dc542eefc189ce16cd4b6381fd,,,
10968,2025-07-26,google.com,digitalocean - Google Search - Google Chrome - Your Chrome,1,pending,,60ead53ac50999e91452075f8c8a542d,,,
10975,2025-07-26,google.com,google.com/search?q=supabase&rlz=1C5OZZY_enAU1170AU1170&oq=supabase&gs_lcrp=EgZjaHJvbWUqBwgAEAAYjwIyBwgAEAAYjwIyEwgBEC4YgwEYxwEYsQMY0QMYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyBwgFEAAYgAQyBwgGEAAYgAQyBwgHEAAYgAQyBwgIEAAYgAQyBwgJEAAYgATSAQgxMzIxajBqN6gCALA,1,pending,,6c799b53073cb12321b9f09a0763621d,,,
11004,2025-07-26,youtube.com,Digital Audio Recorder Watch - Review - YouTube,1,pending,,052dea290902575eb8f4400dd6c8487d,,,
